0,1993-02-22
1,1993-03-22
2,1993-04-19
3,1993-05-17
4,1993-06-14
5,1993-07-12
6,1993-08-09
7,1993-09-06
8,1993-10-04
9,1993-11-01
10,1993-11-29
11,1993-12-27
12,1994-01-24
13,1994-02-21
14,1994-03-21
15,1994-04-18
16,1994-05-16
17,1994-06-13
18,1994-07-11
19,1994-08-08
20,1994-09-05
21,1994-10-03
22,1994-10-31
23,1994-11-28
24,1994-12-26
25,1995-01-23
26,1995-02-20
27,1995-03-20
28,1995-04-17
29,1995-05-15
30,1995-06-12
31,1995-07-10
32,1995-08-07
33,1995-09-04
34,1995-10-02
35,1995-10-30
36,1995-11-27
37,1995-12-25
38,1996-01-22
39,1996-02-19
40,1996-03-18
41,1996-04-15
42,1996-05-13
43,1996-06-10
44,1996-07-08
45,1996-08-05
46,1996-09-02
47,1996-09-30
48,1996-10-28
49,1996-11-25
50,1996-12-23
51,1997-01-20
52,1997-02-17
53,1997-03-17
54,1997-04-14
55,1997-05-12
56,1997-06-09
57,1997-07-07
58,1997-08-04
59,1997-09-01
60,1997-09-29
61,1997-10-27
62,1997-11-24
63,1997-12-22
64,1998-01-19
65,1998-02-16
66,1998-03-16
67,1998-04-13
68,1998-05-11
69,1998-06-08
70,1998-07-06
71,1998-08-03
72,1998-08-31
73,1998-09-28
74,1998-10-26
75,1998-11-23
76,1998-12-21
77,1999-01-18
78,1999-02-15
79,1999-03-15
80,1999-04-12
81,1999-05-10
82,1999-06-07
83,1999-07-05
84,1999-08-02
85,1999-08-30
86,1999-09-27
87,1999-10-25
88,1999-11-22
89,1999-12-20
90,2000-01-17
91,2000-02-14
92,2000-03-13
93,2000-04-10
94,2000-05-08
95,2000-06-05
96,2000-07-03
97,2000-07-31
98,2000-08-28
99,2000-09-25
100,2000-10-23
101,2000-11-20
102,2000-12-18
103,2001-01-15
104,2001-02-12
105,2001-03-12
106,2001-04-09
107,2001-05-07
108,2001-06-04
109,2001-07-02
110,2001-07-30
111,2001-08-27
112,2001-09-24
113,2001-10-22
114,2001-11-19
115,2001-12-17
116,2002-01-14
117,2002-02-11
118,2002-03-11
119,2002-04-08
120,2002-05-06
121,2002-06-03
122,2002-07-01
123,2002-07-29
124,2002-08-26
125,2002-09-23
126,2002-10-21
127,2002-11-18
128,2002-12-16
129,2003-01-13
130,2003-02-10
131,2003-03-10
132,2003-04-07
133,2003-05-05
134,2003-06-02
135,2003-06-30
136,2003-07-28
137,2003-08-25
138,2003-09-22
139,2003-10-20
140,2003-11-17
141,2003-12-15
142,2004-01-12
143,2004-02-09
144,2004-03-08
145,2004-04-05
146,2004-05-03
147,2004-05-31
148,2004-06-28
149,2004-07-26
150,2004-08-23
151,2004-09-20
152,2004-10-18
153,2004-11-15
154,2004-12-13
155,2005-01-10
156,2005-02-07
157,2005-03-07
158,2005-04-04
159,2005-05-02
160,2005-05-30
161,2005-06-27
162,2005-07-25
163,2005-08-22
164,2005-09-19
165,2005-10-17
166,2005-11-14
167,2005-12-12
168,2006-01-09
169,2006-02-06
170,2006-03-06
171,2006-04-03
172,2006-05-01
173,2006-05-29
174,2006-06-26
175,2006-07-24
176,2006-08-21
177,2006-09-18
178,2006-10-16
179,2006-11-13
180,2006-12-11
181,2007-01-08
182,2007-02-05
183,2007-03-05
184,2007-04-02
185,2007-04-30
186,2007-05-28
187,2007-06-25
188,2007-07-23
189,2007-08-20
190,2007-09-17
191,2007-10-15
192,2007-11-12
193,2007-12-10
194,2008-01-07
195,2008-02-04
196,2008-03-03
197,2008-03-31
198,2008-04-28
199,2008-05-26
200,2008-06-23
201,2008-07-21
202,2008-08-18
203,2008-09-15
204,2008-10-13
205,2008-11-10
